eName;isPlanet;semimajorAxis;perihelion;aphelion;eccentricity;inclination;density;gravity;escape;meanRadius;equaRadius;polarRadius;flattening;dimension;sideralOrbit;sideralRotation;discoveryDate;mass_kg;volume;orbit_type;orbits;bondAlbido;geomAlbido;RV_abs;p_transit;transit_visibility;transit_depth;massj;semimajorAxis_AU;grav_int
Greip;FALSO;18442200;0;0;326;179.8;1;0;0;3;0;0;0;NA;921.2;0;38722;150000000000000;NA;Secondary;Saturn;NA;NA;NA;3775823925562020;##########;186000;79;12327849262629900;58574026961600.72
Halimede;FALSO;16611000;0;0;571;134.1;1;0.01;0;30;0;0;0;NA;1879.7;0;37482;200000000000000000;NA;Secondary;Neptune;NA;NA;NA;4192234061766290;##########;18600000;1050000;11103767668800100;96267000000000000
Halley's Comet;FALSO;2677801885;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;NA;24000000000000000;NA;Primary;NA;NA;NA;NA;260000000000;46809848294658200;22500000;12600;##########;##########
Harpalyke;FALSO;21104000;0;0;226;148.6;1;0;0;44594;0;0;0;NA;623.3;0;36853;120000000000000;NA;Secondary;Jupiter;NA;NA;NA;3299583965125090;##########;9980;6;1410715266283530;35784171647714.83
Hati;FALSO;19775000;0;0;372;165.8;1;0;0;3;0;0;0;NA;1038.7;0;38333;150000000000000;NA;Secondary;Saturn;NA;NA;NA;352134007585335;##########;186000;79;13218771034285800;50944529240939.06
Hegemone;FALSO;23566000;0;0;328;155.2;1;0;0;2;0;0;0;NA;739.6;0;2003;45000000000000;NA;Secondary;Jupiter;NA;NA;NA;29548671815327100;##########;8250;237;1575289801233780;##########
Helene;FALSO;377420;0;0;5;0;44621;0;0;33;0;0;0;39x37x25;2.74;0;29281;24000000000000000;NA;Secondary;Saturn;NA;NA;NA;##########;##########;22500000;12600;2522896871686550;22400000000000000000
Helike;FALSO;21064000;0;0;156;154.8;1;0;0;4;0;0;0;NA;634.8;0;2003;90000000000000;NA;Secondary;Jupiter;NA;NA;NA;3305858336498290;##########;33000;474;14080414314346200;##########
Hermippe;FALSO;21300000;0;0;0.21;150.7;1;15;0;2;0;0;0;NA;633.9;0;37244;90000000000000;NA;Secondary;Jupiter;NA;NA;NA;3269220657276990;##########;8250;474;1423817057043170;##########
Herse;FALSO;23405000;0;0;0.2;164.2;1;0;0;2;0;0;0;NA;717.3;0;2003;15000000000000;NA;Secondary;Jupiter;NA;NA;NA;29751933347575300;##########;8250;8;15645276159669200;##########
Hiʻiaka;FALSO;49500;0;0;0;0;1;0;0;33;0;0;0;39x37x25;2.74;0;38378;24000000000000000;NA;Secondary;136108 Haumea;NA;NA;NA;##########;##########;22500000;12600;331000000000;1300000000000000000000
Himalia;FALSO;11461000;9782900;13082000;162;44708;1;62;0;85;0;0;0;NA;2505662;77808;1799;9500000000000000000;NA;Secondary;Jupiter;NA;NA;NA;60764941977139800;##########;14900000;0;7661205300831860;9610000000000000000
Hippocamp;FALSO;105200;0;0;0;0;1;0;0;17;0;0;0;NA;0.95;0;41456;30000000000000000;NA;Secondary;Neptune;NA;NA;NA;##########;##########;59600;158000;703000000000;360000000000000000000
